department,municipality,community,population,occupied_hh,average_hh,hh_unelectrified,percent_unelectrified,percent_n_poor,percent_poor,percent_v_poor
Río San Juan,San Miguelito,Never Oporta,841,163,5.16,88,0.54,29.7,37,33.3
Río San Juan,San Miguelito,Las Nubes,140,24,5.83,24,1.00,12.5,16.7,70.8
Río San Juan,San Miguelito,Santa María,234,43,5.44,42,0.98,1.6,11.1,87.3
Río San Juan,San Miguelito,El Dorado #2,383,64,5.98,62,0.97,0,17.2,82.8
Río San Juan,San Miguelito,El Dorado #3,296,57,5.19,57,1.00,4.7,34.9,60.5
Río San Juan,San Miguelito,Santa Rosa,423,83,5.10,83,1.00,3.6,21.4,75
Río San Juan,San Miguelito,El Cojo,365,59,6.19,56,0.95,1.8,14,84.2
Río San Juan,San Miguelito,El Fajardo,1417,252,5.62,237,0.94,2.1,13.8,84.1
Río San Juan,San Miguelito,El Tulito,304,65,4.68,45,0.69,8.7,21.7,69.6
Río San Juan,San Miguelito,Quebrada Seca,475,79,6.01,79,1.00,10.1,12.7,77.2
Río San Juan,San Miguelito,Tamboral Norte,140,31,4.52,31,1.00,6.5,22.6,71
Río San Juan,San Miguelito,Tamboral Sur,134,24,5.58,23,0.96,13,30.4,56.5
Río San Juan,San Miguelito,Mancha de Coyol,129,31,4.16,31,1.00,35.5,35.5,29
Río San Juan,San Miguelito,Los Ángeles,198,50,3.96,49,0.98,38,34,28
Río San Juan,San Miguelito,El Ayote,279,48,5.81,45,0.94,8.2,32.7,59.2
Río San Juan,San Miguelito,El Tule,922,182,5.07,69,0.38,27,38.9,34.1
Río San Juan,San Miguelito,Aguas Calientes,95,21,4.52,16,0.76,0,11.8,88.2
Río San Juan,San Miguelito,El Roble,485,91,5.33,89,0.98,1.1,25,73.9
Río San Juan,San Miguelito,El Naranjo,391,69,5.67,61,0.88,7.8,21.9,70.3
Río San Juan,San Miguelito,La Rampla,147,25,5.88,25,1.00,0,28,72
Río San Juan,San Miguelito,El Espejo,349,62,5.63,62,1.00,1.6,22.6,75.8
Río San Juan,San Miguelito,Total,17031,3246,5.25,2256,0.70,,,
Río San Juan,San Miguelito,Total Rural,,,#DIV/0!,,#DIV/0!,,,
Rivas,Altagracia,Altagracia,4081,768,5.31,70,0.09,28.3,31.9,39.7
Rivas,Altagracia,San Marcos,1209,213,5.68,50,0.23,13.6,26.2,60.3
Rivas,Altagracia,San José del Norte,320,50,6.40,22,0.44,0,34,66
Rivas,Altagracia,San José del Sur,1094,219,5.00,45,0.21,14.5,32.7,52.7
Rivas,Altagracia,Pull,1281,236,5.43,61,0.26,21.7,38.3,40
Rivas,Altagracia,San Miguel,442,78,5.67,10,0.13,30.4,34.2,35.4
Rivas,Altagracia,Taquizapa,239,38,6.29,13,0.34,18.4,26.3,55.3
Rivas,Altagracia,Silvestre,249,40,6.23,5,0.13,21.4,33.3,45.2
Rivas,Altagracia,Urbiate,1755,335,5.24,106,0.32,11.9,34.4,53.7
Rivas,Altagracia,Sintiope,608,110,5.53,26,0.24,15.6,35.8,48.6
Rivas,Altagracia,Tilgue,631,111,5.68,28,0.25,26.1,47.8,26.1
Rivas,Altagracia,Las Pilas,701,141,4.97,39,0.28,9,38.2,52.8
Rivas,Altagracia,Los Ramos,845,152,5.56,48,0.32,29.5,33.3,37.2
Rivas,Altagracia,Madroñal,396,77,5.14,44,0.57,23.5,22.4,54.1
Rivas,Altagracia,Balguez,1233,236,5.22,60,0.25,33.9,40.3,25.8
Rivas,Altagracia,El Corozal,547,91,6.01,89,0.98,18.1,28.7,53.2
